# Ep lEiso
1.003 -11.003
1.007 -10.482
1.030 -9.381
1.044 -9.680
1.051 -10.658
1.067 -10.231
1.077 -9.052
1.086 -8.502
1.100 -11.091
1.101 -11.498
1.111 -10.486
1.127 -10.950
1.134 -9.518
1.147 -10.196
1.159 -9.531
1.164 -9.157
1.187 -10.406
1.190 -9.622
1.199 -9.348
1.201 -11.072
1.207 -10.234
1.208 -10.600
1.212 -8.695
1.219 -9.868
1.224 -10.236
1.233 -11.086
1.233 -10.862
1.238 -10.501
1.242 -10.275
1.246 -10.824
1.276 -10.516
1.278 -9.818
1.280 -9.865
1.289 -8.522
1.301 -9.860
1.302 -10.677
1.315 -8.582
1.323 -9.400
1.323 -11.932
1.334 -8.943
1.339 -11.033
1.343 -10.702
1.350 -9.676
1.351 -12.119
1.353 -10.845
1.358 -11.416
1.369 -10.677
1.387 -9.231
1.388 -10.086
1.389 -11.244
1.391 -10.195
1.394 -9.584
1.401 -11.022
1.405 -11.065
1.417 -9.733
1.419 -11.212
1.424 -11.426
1.458 -9.125
1.465 -11.158
1.489 -10.744
1.489 -10.618
1.501 -11.836
1.511 -11.695
1.528 -11.053
1.529 -9.900
1.541 -11.425
1.549 -10.018
1.572 -8.180
1.575 -9.548
1.583 -10.177
1.596 -11.730
1.596 -11.131
1.599 -10.200
1.604 -11.208
1.614 -9.990
1.620 -10.879
1.624 -9.305
1.641 -10.188
1.653 -10.681
1.653 -10.552
1.661 -11.455
1.664 -10.972
1.667 -9.804
1.675 -10.712
1.684 -10.869
1.688 -10.990
1.692 -11.229
1.711 -10.423
1.714 -11.150
1.717 -11.118
1.721 -10.958
1.730 -9.912
1.730 -10.210
1.731 -9.600
1.745 -9.639
1.748 -10.647
1.758 -9.861
1.779 -9.636
1.786 -9.717
1.786 -10.768
1.793 -11.286
1.794 -11.805
1.795 -10.974
1.796 -11.071
1.798 -10.134
1.802 -9.927
1.803 -10.984
1.812 -10.462
1.821 -10.626
1.824 -11.101
1.829 -11.669
1.830 -10.372
1.835 -10.917
1.842 -11.231
1.843 -10.789
1.847 -10.615
1.852 -9.793
1.903 -11.541
1.904 -9.434
1.911 -10.487
