# Ep lEiso
61.576 -10.577
63.038 -10.491
67.583 -10.289
69.113 -10.318
69.925 -10.469
70.879 -10.452
71.424 -10.188
71.905 -10.092
72.644 -10.520
72.673 -10.588
73.194 -10.414
73.981 -10.486
74.182 -10.242
74.596 -10.353
74.998 -10.457
75.165 -10.457
75.886 -10.377
76.001 -10.436
76.278 -10.190
76.351 -10.488
76.548 -10.341
76.581 -10.404
76.709 -10.071
76.919 -10.337
77.096 -10.336
77.322 -10.482
77.330 -10.443
77.449 -10.379
77.549 -10.338
77.624 -10.433
78.320 -10.372
78.353 -10.248
78.408 -10.461
78.621 -10.014
78.876 -10.249
78.903 -10.395
79.214 -10.016
79.375 -10.161
79.393 -10.412
79.642 -10.075
79.753 -10.450
79.842 -10.390
80.002 -10.202
80.031 -10.243
80.074 -10.414
80.183 -10.516
80.422 -10.380
80.740 -10.115
80.765 -10.271
80.784 -10.483
80.812 -10.291
80.866 -10.179
80.998 -10.442
81.051 -10.450
81.211 -10.204
81.233 -10.476
81.303 -10.431
81.752 -10.086
81.847 -10.465
82.158 -10.387
82.159 -10.363
82.328 -10.298
82.459 -10.468
82.678 -10.444
82.691 -10.224
82.853 -10.514
82.951 -10.245
83.256 -9.889
83.282 -10.152
83.378 -10.271
83.519 -10.423
83.520 -10.453
83.554 -10.273
83.616 -10.430
83.725 -10.229
83.798 -10.401
83.842 -10.423
84.030 -10.429
84.167 -10.357
84.173 -10.331
84.261 -10.439
84.291 -10.413
84.329 -10.452
84.416 -10.359
84.518 -10.389
84.564 -10.413
84.605 -10.459
84.830 -10.296
84.858 -10.441
84.898 -10.434
84.939 -10.401
85.038 -10.338
85.046 -10.342
85.058 -10.128
85.210 -10.133
85.249 -10.335
85.356 -10.175
85.593 -10.400
85.674 -10.438
85.677 -10.353
85.755 -10.353
85.762 -10.291
85.770 -10.394
85.781 -10.413
85.808 -10.222
85.848 -10.179
85.858 -10.395
85.949 -10.287
86.045 -10.319
86.076 -10.415
86.125 -10.405
86.130 -10.331
86.185 -10.376
86.254 -10.440
86.262 -10.349
86.308 -10.312
86.361 -10.142
86.828 -10.497
86.835 -10.057
86.895 -10.276
86.972 -10.482
86.992 -10.304
87.008 -10.324
87.080 -10.338
87.119 -10.360
87.141 -10.208
87.344 -10.333
87.365 -10.299
87.421 -10.198
87.507 -10.423
87.549 -10.343
87.655 -10.337
87.699 -10.384
87.782 -10.348
87.793 -10.411
87.965 -10.412
87.988 -10.417
88.146 -10.370
88.155 -10.501
88.248 -10.104
88.313 -10.228
88.329 -10.345
88.344 -10.271
88.495 -10.276
88.514 -10.217
88.536 -10.431
88.712 -10.392
88.733 -10.365
88.990 -10.404
89.002 -10.290
89.003 -9.997
89.251 -10.336
89.301 -10.354
89.384 -10.484
89.477 -10.388
89.620 -10.382
89.669 -10.376
89.680 -10.398
89.837 -10.404
89.883 -10.355
89.912 -10.364
89.986 -10.347
89.991 -10.103
90.052 -10.321
90.085 -10.317
90.220 -10.365
90.318 -10.291
90.605 -10.288
90.634 -10.233
90.691 -10.243
90.726 -10.314
90.799 -10.386
90.804 -10.205
90.973 -10.323
91.018 -9.999
91.039 -10.303
91.097 -10.150
91.104 -9.931
91.159 -10.315
91.185 -10.088
91.245 -10.297
91.363 -10.042
91.385 -10.196
91.419 -10.401
91.424 -10.249
91.604 -10.385
91.736 -10.221
91.790 -10.277
91.806 -10.039
91.907 -10.402
91.947 -10.264
91.988 -10.314
91.989 -10.335
92.039 -10.309
92.195 -10.206
92.283 -9.950
92.369 -10.188
92.415 -10.418
92.447 -10.246
92.470 -10.270
92.489 -10.314
92.519 -10.121
92.682 -10.285
92.729 -10.345
92.824 -10.023
92.847 -10.302
92.856 -10.329
92.907 -10.312
92.964 -10.400
93.003 -10.217
93.068 -10.286
93.091 -9.876
93.129 -10.237
93.308 -10.344
93.426 -10.424
93.453 -10.411
93.458 -10.299
93.489 -9.953
93.549 -9.990
93.574 -10.217
93.710 -10.167
94.149 -10.450
94.163 -10.189
94.187 -10.231
94.191 -10.284
94.325 -10.237
94.381 -9.918
94.418 -10.324
94.419 -10.277
94.454 -10.212
94.659 -10.295
94.670 -10.468
94.704 -10.217
94.971 -10.093
95.091 -9.974
95.177 -10.155
95.414 -10.241
95.574 -10.085
95.592 -10.251
95.738 -10.297
95.758 -10.340
95.873 -9.890
95.886 -10.130
95.950 -10.377
95.972 -10.338
95.974 -10.293
96.091 -10.265
96.177 -10.263
96.423 -10.257
