# Ep lEiso
162.230 -12.398
172.564 -12.225
196.171 -11.888
204.424 -11.905
207.688 -12.063
214.960 -11.929
218.522 -11.697
221.665 -11.584
226.139 -12.054
226.298 -12.130
229.147 -11.921
233.918 -11.980
235.482 -11.696
238.709 -11.803
241.726 -11.912
242.894 -11.589
247.933 -11.826
248.666 -11.889
250.439 -11.599
250.907 -11.931
252.173 -11.757
252.386 -11.827
253.204 -11.447
254.493 -11.740
255.523 -11.735
257.072 -11.895
257.134 -11.851
258.113 -11.775
258.935 -11.726
259.549 -11.832
264.949 -11.719
265.191 -11.580
265.596 -11.820
267.158 -11.319
269.032 -11.899
269.222 -11.749
271.434 -11.311
272.579 -11.468
272.708 -11.980
274.422 -11.361
275.180 -11.780
275.789 -11.708
276.871 -11.964
277.064 -11.992
277.349 -11.732
278.073 -11.848
279.773 -11.697
282.373 -11.398
282.577 -11.574
282.729 -11.813
282.955 -11.596
283.382 -11.470
284.440 -11.766
284.867 -11.774
286.130 -11.482
286.303 -11.787
286.857 -11.825
290.321 -11.341
291.048 -11.756
293.387 -11.654
293.393 -11.628
294.645 -11.886
295.603 -11.856
297.205 -11.705
297.302 -11.454
298.485 -11.773
299.189 -11.479
301.746 -11.216
301.938 -11.448
302.624 -11.540
303.637 -11.760
303.646 -11.764
303.889 -11.543
304.329 -11.686
305.098 -11.830
305.611 -11.639
305.918 -11.414
307.230 -11.636
308.182 -11.584
308.224 -11.565
308.824 -11.697
309.023 -11.626
309.287 -11.680
309.872 -11.587
310.576 -11.610
310.886 -11.628
311.169 -11.663
312.683 -11.526
312.870 -11.632
313.143 -11.624
313.418 -11.597
314.073 -11.439
314.124 -11.484
314.203 -11.392
315.213 -11.397
315.471 -11.550
316.167 -11.430
317.700 -11.394
318.226 -11.628
318.248 -11.564
318.762 -11.686
318.814 -11.719
318.873 -11.788
318.953 -11.604
319.147 -11.458
319.434 -11.423
319.505 -11.586
320.167 -11.499
320.854 -11.518
321.070 -11.755
321.418 -11.681
321.455 -11.756
321.839 -11.563
322.330 -11.612
322.383 -11.543
322.706 -11.515
323.077 -11.385
326.334 -11.647
326.381 -11.308
326.800 -11.474
327.331 -11.631
327.468 -11.492
327.583 -11.507
328.080 -11.789
328.342 -11.434
328.495 -11.416
329.869 -11.766
330.015 -11.621
330.394 -11.410
330.974 -11.586
331.258 -11.586
331.980 -11.673
332.280 -11.557
332.834 -11.839
332.912 -11.574
334.072 -11.565
334.223 -11.283
335.341 -11.520
335.408 -11.623
336.075 -11.303
336.542 -11.396
336.659 -11.297
336.770 -11.428
337.845 -11.424
337.978 -11.378
338.134 -11.581
339.368 -11.676
339.517 -11.495
341.313 -11.526
341.397 -11.436
341.405 -11.202
343.142 -11.472
343.491 -11.486
344.063 -11.587
344.703 -11.642
345.689 -11.494
346.023 -11.587
346.101 -11.279
347.182 -11.500
347.494 -11.374
347.695 -11.465
348.203 -11.525
348.242 -11.559
348.659 -11.712
348.883 -11.419
349.850 -11.451
350.557 -11.388
352.587 -11.388
352.789 -11.344
353.191 -11.353
353.439 -11.411
353.958 -11.470
353.991 -11.517
355.189 -11.596
355.509 -11.157
355.657 -11.497
356.065 -11.280
356.114 -11.101
356.503 -11.343
356.690 -11.230
357.115 -11.403
357.947 -11.453
358.106 -11.672
358.344 -11.490
358.382 -11.365
359.632 -11.474
360.549 -11.335
360.921 -11.380
361.037 -11.184
361.734 -11.480
362.014 -11.366
362.305 -11.405
362.314 -11.422
362.672 -11.399
363.786 -11.534
364.413 -11.094
365.021 -11.287
365.354 -11.475
365.578 -11.470
365.740 -11.496
365.875 -11.288
366.091 -11.226
367.254 -11.457
367.586 -11.239
368.265 -11.133
368.428 -11.364
368.493 -11.517
368.849 -11.370
369.251 -11.440
369.524 -11.577
369.982 -11.343
370.139 -11.003
370.408 -11.301
371.663 -11.383
372.489 -11.553
372.682 -11.435
372.717 -11.544
372.937 -11.053
373.358 -11.394
373.530 -11.269
374.501 -11.410
377.637 -11.454
377.737 -11.236
377.905 -11.434
377.934 -11.315
378.889 -11.273
379.289 -11.005
379.552 -11.345
379.559 -11.425
379.811 -11.251
381.257 -11.323
381.330 -11.469
381.572 -11.216
383.454 -11.457
384.304 -11.359
384.918 -11.209
386.609 -11.282
387.746 -11.146
387.872 -11.290
388.908 -11.330
389.055 -11.368
389.868 -11.340
389.966 -11.184
390.421 -11.400
390.578 -11.495
390.591 -11.327
391.423 -11.302
392.032 -11.300
393.781 -11.489
393.806 -11.641
394.575 -11.165
395.151 -11.382
395.200 -11.544
396.592 -11.079
396.600 -11.292
396.611 -11.230
396.899 -11.459
397.024 -11.181
397.563 -11.373
397.998 -11.272
398.162 -11.324
398.197 -11.383
398.567 -11.309
400.323 -11.433
402.680 -11.098
402.703 -11.191
403.099 -11.395
404.454 -11.341
404.732 -11.076
