# Ep lEiso
92.417 -14.985
92.642 -14.369
93.489 -14.292
93.669 -13.984
94.670 -14.348
94.721 -14.184
95.369 -13.812
95.442 -14.746
95.598 -13.440
95.614 -13.885
95.668 -14.845
95.885 -13.629
96.359 -14.862
98.276 -14.310
98.396 -15.284
98.405 -13.982
99.290 -14.112
100.391 -14.578
100.591 -14.092
100.915 -14.701
100.985 -13.355
101.254 -13.916
101.393 -13.785
101.485 -13.976
101.500 -14.112
102.541 -14.423
103.815 -14.630
104.187 -13.673
104.596 -14.518
105.214 -13.545
105.517 -14.377
105.588 -14.017
106.623 -13.835
107.360 -13.777
107.874 -13.916
108.378 -14.150
108.733 -14.243
108.794 -13.889
108.880 -15.400
109.243 -14.321
109.670 -14.465
110.106 -14.188
110.391 -14.272
110.564 -13.721
110.745 -13.879
110.840 -14.473
110.843 -14.608
111.474 -14.230
111.577 -14.335
111.711 -13.994
111.898 -13.873
112.619 -14.246
112.753 -13.831
112.826 -14.288
113.373 -14.445
113.614 -13.845
113.878 -14.243
114.471 -14.653
114.712 -13.481
115.112 -14.427
117.247 -13.434
117.459 -14.298
117.855 -14.004
118.094 -14.135
118.180 -13.701
118.269 -14.092
118.447 -13.447
118.937 -14.027
119.962 -14.716
120.297 -13.810
120.370 -14.094
120.389 -14.286
120.474 -14.163
120.605 -14.584
120.877 -14.044
120.932 -14.080
120.941 -13.994
120.947 -14.729
121.295 -13.929
121.475 -14.978
122.407 -14.184
122.780 -13.932
122.851 -13.962
122.972 -14.023
123.069 -13.912
123.480 -13.792
123.561 -13.481
123.814 -13.312
123.846 -13.649
123.899 -13.397
124.949 -13.821
125.004 -14.255
125.969 -14.002
126.003 -14.705
126.047 -14.171
126.453 -14.020
126.470 -14.208
127.042 -14.030
127.248 -14.339
127.282 -14.314
127.379 -14.343
127.831 -13.814
128.262 -14.056
128.405 -13.622
128.561 -14.037
128.829 -12.972
129.397 -13.900
130.028 -14.206
130.173 -12.877
130.311 -13.567
130.605 -13.746
130.912 -13.774
131.349 -13.947
132.172 -14.186
132.670 -13.797
132.840 -14.409
133.150 -14.126
133.195 -13.463
133.888 -14.326
133.958 -14.069
134.526 -13.945
134.829 -13.844
135.420 -14.337
136.253 -14.005
136.784 -13.359
137.135 -14.141
137.718 -13.854
137.718 -14.209
137.781 -13.756
137.883 -14.309
138.618 -14.453
138.694 -14.107
141.009 -14.561
141.032 -14.647
141.187 -13.543
142.016 -14.111
142.916 -13.887
142.989 -14.241
143.137 -14.080
143.286 -14.308
143.343 -14.163
143.904 -14.207
144.226 -13.165
144.628 -14.693
144.746 -14.122
144.890 -13.796
145.019 -13.925
145.066 -13.494
145.097 -13.420
145.153 -13.841
145.338 -13.873
145.544 -13.368
146.888 -13.769
147.225 -13.993
147.295 -13.887
148.491 -14.303
148.603 -13.738
148.918 -13.930
149.297 -14.057
149.485 -14.341
151.558 -13.752
151.645 -14.140
151.779 -14.111
152.580 -13.698
152.861 -14.470
153.840 -13.933
154.912 -14.251
154.967 -13.934
155.420 -14.137
156.343 -14.457
156.989 -14.191
157.224 -14.263
157.869 -14.274
158.357 -13.880
158.588 -14.994
158.694 -13.989
158.968 -13.661
160.115 -13.770
160.277 -13.705
160.591 -13.692
160.939 -13.744
161.059 -13.661
161.300 -13.191
161.684 -14.326
162.499 -13.667
162.627 -13.378
162.703 -14.249
162.733 -13.435
162.736 -13.568
162.888 -14.226
162.944 -14.015
163.620 -14.294
164.066 -13.740
164.204 -14.124
165.022 -13.256
166.218 -14.002
166.338 -14.038
166.588 -14.046
166.991 -13.151
167.347 -13.537
167.416 -13.950
168.829 -14.277
169.220 -13.722
170.037 -13.589
170.104 -13.924
170.204 -14.616
170.240 -13.653
170.300 -13.990
170.397 -14.988
170.708 -13.974
171.536 -14.024
171.627 -14.640
171.694 -13.974
171.841 -14.325
172.646 -13.854
172.900 -14.116
174.609 -13.740
175.072 -13.562
175.627 -13.819
175.890 -13.942
176.243 -13.791
177.001 -13.314
177.318 -13.616
177.646 -13.253
179.193 -14.060
180.686 -13.817
181.215 -13.732
183.791 -13.852
184.293 -13.791
184.581 -14.127
185.109 -13.907
185.379 -13.599
185.734 -13.919
186.330 -14.044
186.952 -14.016
187.156 -13.964
187.871 -14.000
188.294 -13.803
188.579 -13.863
188.683 -13.803
188.788 -15.055
189.254 -13.762
189.901 -13.113
189.903 -13.979
190.310 -14.270
190.370 -14.034
190.908 -13.675
191.463 -13.959
192.301 -14.072
195.043 -13.877
195.349 -14.082
196.658 -13.798
196.816 -13.814
197.071 -13.762
197.400 -13.765
199.356 -14.166
199.463 -13.980
199.843 -14.100
200.196 -15.070
200.233 -13.757
202.377 -13.783
202.429 -14.334
202.721 -14.131
203.942 -14.175
203.948 -14.123
204.618 -14.127
205.604 -13.711
206.152 -13.401
206.920 -13.874
207.737 -13.415
